state,fatalities,shootings,lat,lon
California,120,17,36.116203,-119.681564
Florida,118,10,27.766279,-81.686783
Pennsylvania,13,2,40.590752,-77.209755
Texas,91,8,31.054487,-97.563461
Colorado,38,6,39.059811,-105.311104
Maryland,3,1,39.063946,-76.802101
Nevada,63,2,38.313515,-117.055374
Ohio,8,2,40.388783,-82.764915
Washington,37,7,47.400902,-121.490494
Louisiana,3,1,31.169546,-91.867805
Georgia,14,2,33.040619,-83.643074
Kansas,3,1,38.526600,-96.726486
Michigan,11,2,43.326618,-84.536095
Oregon,13,2,44.572021,-122.070938
Tennessee,5,1,35.747845,-86.692345
South Carolina,13,2,33.856892,-80.945007
Wisconsin,24,4,44.268543,-89.616508
New York,25,3,42.165726,-74.948051
Connecticut,41,3,41.597782,-72.755371
Minnesota,17,2,45.694454,-93.900192
Arizona,6,1,33.729759,-111.431221
Kentucky,15,1,37.668140,-84.670067
Illinois,10,2,40.349457,-88.986137
Missouri,6,1,38.456085,-92.288368
Nebraska,9,1,41.125370,-98.268082
Virginia,32,1,37.769337,-78.169968
Utah,6,1,40.150032,-111.862434
Mississippi,7,1,32.741646,-89.678696
Hawaii,7,1,21.094318,-157.498337
Arkansas,5,1,34.969704,-92.373123
North Carolina,4,1,35.630066,-79.806419
Iowa,6,1,42.011539,-93.210526
Oklahoma,15,1,35.565342,-96.928917
